rank,agent,score,level_1,level_2,level_3,date_submitted
1,GPT-4o (AutoGen),57.4,72.1,56.3,31.8,2024-09-01
2,Claude 3.5 Sonnet,55.2,69.8,54.1,29.4,2024-10-01
3,Gemini 1.5 Pro,51.3,65.4,49.7,26.1,2024-08-01
4,GPT-4 Turbo,48.6,62.3,47.2,23.7,2024-06-01
5,Claude 3 Opus,45.1,59.4,43.8,20.9,2024-06-01
6,Llama 3.1 405B,38.7,51.2,37.4,16.3,2024-08-01
7,Mistral Large 2,35.4,47.8,34.1,13.8,2024-08-01
8,Llama 3 70B,29.3,40.6,27.8,10.2,2024-06-01
9,Claude 3 Sonnet,27.6,38.1,26.4,9.7,2024-04-01
10,Mixtral 8x22B,24.1,34.7,22.9,8.1,2024-05-01
