competition,score,team,benchmark
titanic,1.00000,Мария Короткова,mle_bench
titanic,1.00000,Eduardo Sopuerta Diez,mle_bench
titanic,1.00000,HongchenDai,mle_bench
titanic,1.00000,Veniamin_Nelin,mle_bench
titanic,1.00000,[Deleted] 45f79679-021c-40fe-b4aa-c847441779c9,mle_bench
titanic,1.00000,n3onnhowever,mle_bench
titanic,1.00000,Sas Pav,mle_bench
titanic,1.00000,Amey Thakur,mle_bench
titanic,1.00000,中川皓太,mle_bench
titanic,1.00000,Кощавцев Даниил ,mle_bench
titanic,1.00000,Phoebe Wang,mle_bench
titanic,1.00000,Suixing Fu,mle_bench
titanic,1.00000,moon #6,mle_bench
titanic,1.00000,Siyu Ren,mle_bench
titanic,1.00000,Alexander Nittmann,mle_bench
titanic,1.00000,Alexandr Lasinkov,mle_bench
titanic,1.00000,Mallethx,mle_bench
titanic,1.00000,zhuyanjin,mle_bench
titanic,1.00000,Collin Kim,mle_bench
titanic,1.00000,Aditya Kelana Candra,mle_bench
digit-recognizer,1.00000,----,mle_bench
digit-recognizer,1.00000,Mr. Sohel Rana,mle_bench
digit-recognizer,1.00000,Nallari Harsha Vardhan Raj(123cs0046),mle_bench
digit-recognizer,1.00000,Dilshod Azamjonov,mle_bench
digit-recognizer,1.00000,celestra,mle_bench
digit-recognizer,1.00000,Mehmet Özer,mle_bench
digit-recognizer,1.00000,Erazm,mle_bench
digit-recognizer,1.00000,huangzr,mle_bench
digit-recognizer,1.00000,dkaoki,mle_bench
digit-recognizer,1.00000,s1ngle,mle_bench
digit-recognizer,0.99957,Данил Долгов,mle_bench
digit-recognizer,0.99953,Ayush_123CS0006,mle_bench
digit-recognizer,0.99953,Sue the,mle_bench
digit-recognizer,0.99953,zhangwenhao20091113,mle_bench
digit-recognizer,0.99953,BNBU DENG Haoyuan,mle_bench
digit-recognizer,0.99953,Ashish Jadia,mle_bench
digit-recognizer,0.99953,Himanshu Singh #2,mle_bench
digit-recognizer,0.99953,Sebastian Pineda Rodriguez,mle_bench
digit-recognizer,0.99953,SebastianJim27,mle_bench
digit-recognizer,0.99953,Valentina Sandoval18,mle_bench
house-prices-advanced-regression-techniques,0.00000,Top 0,mle_bench
house-prices-advanced-regression-techniques,0.00000,KasSims,mle_bench
house-prices-advanced-regression-techniques,0.00000,TECH4534,mle_bench
house-prices-advanced-regression-techniques,0.00000,TOP1  MSU-BIT,mle_bench
house-prices-advanced-regression-techniques,0.00000,szachovy,mle_bench
house-prices-advanced-regression-techniques,0.00000,徐海学院,mle_bench
house-prices-advanced-regression-techniques,0.00000,Function AI,mle_bench
house-prices-advanced-regression-techniques,0.00000,哈哈哈我是汤培熙,mle_bench
house-prices-advanced-regression-techniques,0.00025,Wolfe Tones,mle_bench
house-prices-advanced-regression-techniques,0.00044,PHOENIX ALGORITHMS,mle_bench
house-prices-advanced-regression-techniques,0.00044,FeatureEngineers,mle_bench
house-prices-advanced-regression-techniques,0.00044,xslan,mle_bench
house-prices-advanced-regression-techniques,0.00044,Shijia Yin,mle_bench
house-prices-advanced-regression-techniques,0.00044,Viet Anh Ngo ,mle_bench
house-prices-advanced-regression-techniques,0.00044,Mr. Sohel Rana #2,mle_bench
house-prices-advanced-regression-techniques,0.00044,Dnyanesh Bharambe,mle_bench
house-prices-advanced-regression-techniques,0.00044,Samyakraj Bayar,mle_bench
house-prices-advanced-regression-techniques,0.00044,Parvin Jumshudlu,mle_bench
house-prices-advanced-regression-techniques,0.00044,Asrın Yılmaz,mle_bench
house-prices-advanced-regression-techniques,0.00044,Mohamed3307,mle_bench
spaceship-titanic,0.96469,CADang,mle_bench
spaceship-titanic,0.84638,MSU-BIT OR,mle_bench
spaceship-titanic,0.84592,ceyennn,mle_bench
spaceship-titanic,0.84568,Andrei Calinescu,mle_bench
spaceship-titanic,0.84475,syijajodjjej,mle_bench
spaceship-titanic,0.84358,edisonnnnnnn,mle_bench
spaceship-titanic,0.84311,wiishshus,mle_bench
spaceship-titanic,0.84217,edison002,mle_bench
spaceship-titanic,0.84124,eterrrr,mle_bench
spaceship-titanic,0.84054,Shaoyanboo,mle_bench
spaceship-titanic,0.83586,saddix,mle_bench
spaceship-titanic,0.83119,haphap,mle_bench
spaceship-titanic,0.83002,COCOQUITO,mle_bench
spaceship-titanic,0.82955,Superlemon111,mle_bench
spaceship-titanic,0.82931,Edison08,mle_bench
spaceship-titanic,0.82768,eterrrrr,mle_bench
spaceship-titanic,0.82744,ssshinyu,mle_bench
spaceship-titanic,0.82417,Edison04,mle_bench
spaceship-titanic,0.82417,public score is a joke,mle_bench
spaceship-titanic,0.82324,hhhzzzyyyy,mle_bench
nlp-getting-started,1.00000,P1SUN,mle_bench
nlp-getting-started,1.00000,Samyakraj Bayar,mle_bench
nlp-getting-started,1.00000,Joy Ashnet,mle_bench
nlp-getting-started,1.00000,Erazm,mle_bench
nlp-getting-started,1.00000,Jeffrey Tanner Overby,mle_bench
nlp-getting-started,1.00000,Ana Casallas,mle_bench
nlp-getting-started,1.00000,Camila Guzman,mle_bench
nlp-getting-started,1.00000,eterrrr,mle_bench
nlp-getting-started,1.00000,edisonnnnnnn,mle_bench
nlp-getting-started,1.00000,Daniil S.V.(D).,mle_bench
nlp-getting-started,0.99693,Jaider Romero1,mle_bench
nlp-getting-started,0.98406,Lucia Brando,mle_bench
nlp-getting-started,0.96812,pite.bnbu,mle_bench
nlp-getting-started,0.94973,Emmanuele_Ar_Napoli,mle_bench
nlp-getting-started,0.84952,Denis Novoselov,mle_bench
nlp-getting-started,0.84860,Abhishek Kumar #9,mle_bench
nlp-getting-started,0.84737,Simone candido,mle_bench
nlp-getting-started,0.84707,Yike Yang,mle_bench
nlp-getting-started,0.84707,DeepMind,mle_bench
nlp-getting-started,0.84615,Tatyana Kirpicheva,mle_bench
store-sales-time-series-forecasting,0.37687,MSU-BIT,mle_bench
store-sales-time-series-forecasting,0.37793,Javier Reinoso Velasco,mle_bench
store-sales-time-series-forecasting,0.37825,Zhao Chi (SPBU),mle_bench
store-sales-time-series-forecasting,0.37868,koreaaaaauniv,mle_bench
store-sales-time-series-forecasting,0.37936,Samyakraj Bayar,mle_bench
store-sales-time-series-forecasting,0.37937,Cole Sussmeier,mle_bench
store-sales-time-series-forecasting,0.37938,[Deleted] c1af2439-49c6-4ae6-aa58-93876e16a2fb,mle_bench
store-sales-time-series-forecasting,0.37939,Ankit Malik,mle_bench
store-sales-time-series-forecasting,0.37941,leeyunje,mle_bench
store-sales-time-series-forecasting,0.37947,Thanh Nhan Nguyen,mle_bench
store-sales-time-series-forecasting,0.37947,UoM_268374U,mle_bench
store-sales-time-series-forecasting,0.37947,OXY2,mle_bench
store-sales-time-series-forecasting,0.37947,Sebastian Pineda Rodriguez,mle_bench
store-sales-time-series-forecasting,0.37947,Cesar Aguirre,mle_bench
store-sales-time-series-forecasting,0.37947,Michael Esteban Guzman Narvaez,mle_bench
